"id","label","labellevel","span"
"0","conversation opening","Dialogue level","&&&&OK, so let's start this pair speaking test. So in the first part one I will ask you 3 short questions. The first one is what's your name and second one is what's your major and the third one is why you choose to study this major and you have two minutes in total to answer the three questions. And when you are ready, please show Menghan and she will start the time count.&&&&"
"1","subordinate clauses","Token level","OK, so let's start this pair speaking test. So in the first part one I will ask you 3 short questions. The first one is what's your name and second one is what's your major and the third one is why you choose to study this major and you have two minutes in total to answer the three questions. And &&&&when&&&& you are ready, please show Menghan and she will start the time count."
"2","backchannels","Utterance level","&&&&Yep.&&&&"
"3","epistemic modals","Utterance level","Yeah, hello, my name is Hanny and I'm studying in University of Melbourne and I'm majoring in information system and because I was majoring in finance and I found it was like too general so I &&&&would&&&& like to choose a major like combined with the business and."
"4","subordinate clauses","Token level","Yeah, hello, my name is Hanny and I'm studying in University of Melbourne and I'm majoring in information system and &&&&because&&&& I was majoring in finance and I found it was like too general so I would like to choose a major like combined with the business and."
"5","question-based responses","Utterance level","&&&&And information technology. So I choose an information system to study with, and now I found it was still too general for me. Yeah, so I was a little worried about you. How to find a job with this major?&&&&"
"6","subordinate clauses","Token level","Yeah, my name is Flora and I'm doing the most of data science for the first semester. I did my bachelor major in physics, but I found like I'm just not suitable for &&&&that&&&&."
"7","subordinate clauses","Token level","Well, after I changed to the Master of Data Science, I found &&&&that&&&& it was quite interesting to do the computing and statistics together, and I believe this more like the career for data science will be more more like wider than physics rather than like going to academic. So basically the reason for studying data science is just for job for money and also a pathway to academic. Yeah."
"8","question-based responses","Utterance level","&&&&OK, and let's move to the second part. So this this part you will give them a topic to do a mini presentation and you have two minutes to prepare. So the topic is about what is important when you considering a career change. So here are two options for you to consider, but you can talk on the two options, but you can also work on the 4th or the third one. So after your two minutes Menghan will show you and you need to start the one minute presentation, yes?&&&&"
"9","epistemic modals","Utterance level","OK, and let's move to the second part. So this this part you will give them a topic to do a mini presentation and you have two minutes to prepare. So the topic is about what is important when you considering a career change. So here are two options for you to consider, but you &&&&can&&&& talk on the two options, but you can also work on the 4th or the third one. So after your two minutes Menghan will show you and you need to start the one minute presentation, yes?"
"10","subordinate clauses","Token level","OK, and let's move to the second part. So this this part you will give them a topic to do a mini presentation and you have two minutes to prepare. So the topic is about what is important &&&&when&&&& you considering a career change. So here are two options for you to consider, but you can talk on the two options, but you can also work on the 4th or the third one. So after your two minutes Menghan will show you and you need to start the one minute presentation, yes?"
"11","backchannels","Utterance level","&&&&Here for you.&&&&"
"12","question-based responses","Utterance level","&&&&Do you want to put your?&&&&"
"13","backchannels","Utterance level","&&&&Phone here, sure.&&&&"
"14","backchannels","Utterance level","&&&&OK.&&&&"
"15","backchannels","Utterance level","&&&&Sir.&&&&"
"16","backchannels","Utterance level","&&&&OK.&&&&"
