"id","label","labellevel","span"
"0","conversation opening","Dialogue level","&&&&Hello, my name is haiyu. I'm from China.  What was the second question again? What's the major? **Ah yeah**[ae]  I I. I studied at applied linguistics and Union, Melvin, but now I'm a graduate.&&&&"
"1","backchannels","Utterance level","&&&&Yeah.&&&&"
"2","epistemic modals","Utterance level","Yeah, so when I was little I dreamed of being a multilingual and I found that people who &&&&can&&&& speak several languages are pretty cool."
"3","subordinate clauses","Token level","Yeah, so when I was little I dreamed of being a multilingual and I found &&&&that&&&& people who can speak several languages are pretty cool."
"4","backchannels","Utterance level","&&&&So.&&&&"
"5","negotiation of meaning","Token level","Yes, so am I. My receipt like my education that I received before? &&&&Sorry&&&& I was."
"6","subordinate clauses","Token level","Yes, so am I. My receipt like my education &&&&that&&&& I received before? Sorry I was."
"7","backchannels","Utterance level","&&&&So.&&&&"
"8","backchannels","Utterance level","&&&&I.&&&&"
"9","epistemic modals","Utterance level","You'll be cool. You sound rather for it's OK, maybe Runki &&&&can&&&& take the floor."
"10","adjectives/ adverbs expressing possibility","Utterance level","You'll be cool. You sound rather for it's OK, &&&&maybe&&&& Runki can take the floor."
"11","subordinate clauses","Token level","About processing all the datas and Tuning the models and I like this major &&&&because&&&& all the models start at a very low performance, but they're learning the game. Become better, so it's kind of like myself."
"12","question-based responses","Utterance level","&&&&**ah**[ak]What do you think about that?&&&&"
"13","subordinate clauses","Token level","**ah**[ak]What do you think about &&&&that&&&&?"
"14","epistemic modals","Utterance level","Any idea? Yeah they already you &&&&can&&&& show she will start the Tempe point so so now we'll just do like a free discussion. Yeah the carefree. Yeah basically talk whatever you like as long as it's under the Korea or the major change."
"15","backchannels","Utterance level","&&&&Career major change.&&&&"
"16","backchannels","Utterance level","&&&&Umm?&&&&"
"17","question-based responses","Utterance level","&&&&Umm?&&&&"
"18","negotiation of meaning","Token level","What's what's your idea about your future major? I'm &&&&sorry&&&& about your future."
"19","epistemic modals","Utterance level","**ah**[bc] What do you think this about discuss about the postponed or no? It depends on you. Yeah, it depends on you can be overlapping. Yeah it &&&&could&&&& be. Yeah, we don't need to strictly forward these to suggestions. This is just because the relation for you to follow.  **okay**[be] But you can also raise your own point as well. So we're kind of in different languages, so I don't know how to discuss some because we have like different."
"20","subordinate clauses","Token level","**ah**[bc] What do you think this about discuss about the postponed or no? It depends on you. Yeah, it depends on you can be overlapping. Yeah it could be. Yeah, we don't need to strictly forward these to suggestions. This is just &&&&because&&&& the relation for you to follow.  **okay**[be] But you can also raise your own point as well. So we're kind of in different languages, so I don't know how to discuss some because we have like different."
"21","question-based responses","Utterance level","&&&&Background background, but it's OK because you can talk a lot about OK. What's your future career and why you want to pursue this career?&&&&"
"22","epistemic modals","Utterance level","Background background, but it's OK because you &&&&can&&&& talk a lot about OK. What's your future career and why you want to pursue this career?"
"23","subordinate clauses","Token level","Background background, but it's OK &&&&because&&&& you can talk a lot about OK. What's your future career and why you want to pursue this career?"
"24","question-based responses","Utterance level","&&&&What's your future career?&&&&"
"25","subordinate clauses","Token level","I didn't mean &&&&that&&&& as teacher's career."
"26","backchannels","Utterance level","&&&&To.&&&&"
"27","backchannels","Utterance level","&&&&Probably data analysis.&&&&"
"28","adjectives/ adverbs expressing possibility","Utterance level","&&&&Probably&&&& data analysis."
"29","backchannels","Utterance level","&&&&Hello analysis.&&&&"
"30","subordinate clauses","Token level","Company, so it's &&&&that&&&& like your first step of."
"31","epistemic modals","Utterance level","Your career pathway? Or you just wanna found a job stable? **Yeah**[be], because we &&&&may&&&& have to jump to do the first one. That is about data. Second one that."
"32","subordinate clauses","Token level","Your career pathway? Or you just wanna found a job stable? **Yeah**[be], &&&&because&&&& we may have to jump to do the first one. That is about data. Second one that."
"33","subordinate clauses","Token level","About back end development. &&&&Since&&&& like developing software. **umm**[bc]"
"34","subordinate clauses","Token level","So if you are doing &&&&that&&&& analysis for my major, you will get a better further study. You're getting a chance to get a doctor Gray."
"35","subordinate clauses","Token level","OK, in the future &&&&if&&&& you want to please do one. I'm prefer pursuit of photo study. I'm coming."
"36","subordinate clauses","Token level","It's really dependent. **Yeah**[ak], but but then &&&&if&&&& you see you get no promotions, hardly get promotions."
"37","epistemic modals","Utterance level","But if you want doing software development, you &&&&can&&&& like a leader for team development, new Earth."
"38","subordinate clauses","Token level","But &&&&if&&&& you want doing software development, you can like a leader for team development, new Earth."
"39","backchannels","Utterance level","&&&&How about you?&&&&"
"40","question-based responses","Utterance level","&&&&How about you?&&&&"
"41","negotiation of meaning","Token level","I'm currently doing as a old tabling. I like about bilingual, cultural, uh, &&&&sorry&&&&, bilingual teachers so."
"42","backchannels","Utterance level","&&&&Watching.&&&&"
"43","epistemic modals","Utterance level","So I told it cultural community. We &&&&can&&&& score on in Susan, correct high and so it's basically like you work in the morning for teaching the Australian born Children."
"44","backchannels","Utterance level","&&&&Am I?&&&&"
"45","question-based responses","Utterance level","&&&&Am I?&&&&"
"46","backchannels","Utterance level","&&&&Is part of.&&&&"
"47","backchannels","Utterance level","&&&&My.&&&&"
"48","backchannels","Utterance level","&&&&Major knowledge.&&&&"
"49","subordinate clauses","Token level","And I again some experiences before &&&&when&&&& I was still in China."
"50","backchannels","Utterance level","&&&&Plan.&&&&"
"51","backchannels","Utterance level","&&&&On&&&&"
"52","epistemic modals","Utterance level","I probably &&&&would&&&& would like to try like something new and."
