"id","label","labellevel","span"
"0","conversation opening","Dialogue level","&&&&No, no casualties. I'll book.&&&&"
"1","backchannels","Utterance level","&&&&24&&&&"
"2","epistemic modals","Utterance level","well, you got one. But I'm going to see the time too. OK, so let's start this speaking test. So first in this part I will ask you 3 short questions and you need to answer some personal information to me within two minutes. So the first question is what's your name? And second one was your major and the third one is why you choose this major as your major right now. OK, and when you are ready you &&&&can&&&& show her and she will start the time point."
"3","subordinate clauses","Token level","well, you got one. But I'm going to see the time too. OK, so let's start this speaking test. So first in this part I will ask you 3 short questions and you need to answer some personal information to me within two minutes. So the first question is what's your name? And second one was your major and the third one is why you choose this major as your major right now. OK, and &&&&when&&&& you are ready you can show her and she will start the time point."
"4","negotiation of meaning","Token level","OK yeah I'm ready and my name is Hanson Lee and I come from China. &&&&I mean&&&& major of Master of Information Technology and minor minor. Specialization is artificial intelligence and I think. The the major is, you know some. It's easy to find a job after I graduate, graduate and.  And I also. Kind of like computer and like programming and something like this. And and I'm I'm with my and my undergraduate, and I studied them in the major of electrical engineering and I think it is. Is something related to the computer science, and but it's it's. It's not very popular like computer science. So after graduation I choose the information technology as my graduation major. Of."
"5","subordinate clauses","Token level","**okay**[ak]  So my name is Jim Wong and I'm from China as well and my bachelor major is electrical engineering. But &&&&when&&&& I after I graduated and I found I didn't really like it. So I just tried. I just take the the master all of the computer science and then now I'm doing the PhD on the computer science and the major is about the the research focus is about natural language processing."
"6","epistemic modals","Utterance level","And I think maybe we can choose both both each one, choose some points and and do the presentation half a minute, we just add up. **Yeah yeah**[be], **OK**[ak].  **Yeah**[ak] **okay**[be] **uh huh**[bc] **Yeah**[be]  **Sure**[be] **Yeah yeah**  **uh huh**[bc]  **Yeah**[be]  **Of course**[be] **Uh huh**[bc]  **Yeah**[be]  And I think the hints are is a good good crisis. And which one you would like to discuss more like the feature study or training. Yeah, I I can. Maybe I choose the first point for the future study or training. Yeah, and I will make make something like this and. I think let me see. If you're just started and. Because I think in when we graduate, we are doing my job doing my job is also we also need to study because we like we study computer. The technology development develops as time goes by. So we need to study all the time and to. So I think it &&&&might&&&& change your job if job could not give me much knowledge about the. Something that so and and I think I cannot improve in the job, so I maybe I will change a career. And tell me, maybe I will choose the other about talking more about like. Lie or like local and their locations. And close to something good. There is so so so maybe you so maybe you take back the second minutes for the first point and then I will keep going to the second one. Yeah, OK, so I will focus on the second. Sorry here, yeah. Focus on the study or training. **Yeah yeah yeah**[be]  **Yes**[be]  **Yeah yeah**[be]  **Okay**[be]  **Okay**[be]"
"7","adjectives/ adverbs expressing possibility","Utterance level","And I think &&&&maybe&&&& we can choose both both each one, choose some points and and do the presentation half a minute, we just add up. **Yeah yeah**[be], **OK**[ak].  **Yeah**[ak] **okay**[be] **uh huh**[bc] **Yeah**[be]  **Sure**[be] **Yeah yeah**  **uh huh**[bc]  **Yeah**[be]  **Of course**[be] **Uh huh**[bc]  **Yeah**[be]  And I think the hints are is a good good crisis. And which one you would like to discuss more like the feature study or training. Yeah, I I can. Maybe I choose the first point for the future study or training. Yeah, and I will make make something like this and. I think let me see. If you're just started and. Because I think in when we graduate, we are doing my job doing my job is also we also need to study because we like we study computer. The technology development develops as time goes by. So we need to study all the time and to. So I think it might change your job if job could not give me much knowledge about the. Something that so and and I think I cannot improve in the job, so I maybe I will change a career. And tell me, maybe I will choose the other about talking more about like. Lie or like local and their locations. And close to something good. There is so so so maybe you so maybe you take back the second minutes for the first point and then I will keep going to the second one. Yeah, OK, so I will focus on the second. Sorry here, yeah. Focus on the study or training. **Yeah yeah yeah**[be]  **Yes**[be]  **Yeah yeah**[be]  **Okay**[be]  **Okay**[be]"
"8","negotiation of meaning","Token level","And I think maybe we can choose both both each one, choose some points and and do the presentation half a minute, we just add up. **Yeah yeah**[be], **OK**[ak].  **Yeah**[ak] **okay**[be] **uh huh**[bc] **Yeah**[be]  **Sure**[be] **Yeah yeah**  **uh huh**[bc]  **Yeah**[be]  **Of course**[be] **Uh huh**[bc]  **Yeah**[be]  And I think the hints are is a good good crisis. And which one you would like to discuss more like the feature study or training. Yeah, I I can. Maybe I choose the first point for the future study or training. Yeah, and I will make make something like this and. I think let me see. If you're just started and. Because I think in when we graduate, we are doing my job doing my job is also we also need to study because we like we study computer. The technology development develops as time goes by. So we need to study all the time and to. So I think it might change your job if job could not give me much knowledge about the. Something that so and and I think I cannot improve in the job, so I maybe I will change a career. And tell me, maybe I will choose the other about talking more about like. Lie or like local and their locations. And close to something good. There is so so so maybe you so maybe you take back the second minutes for the first point and then I will keep going to the second one. Yeah, OK, so I will focus on the second. &&&&Sorry&&&& here, yeah. Focus on the study or training. **Yeah yeah yeah**[be]  **Yes**[be]  **Yeah yeah**[be]  **Okay**[be]  **Okay**[be]"
"9","subordinate clauses","Token level","And I think maybe we can choose both both each one, choose some points and and do the presentation half a minute, we just add up. **Yeah yeah**[be], **OK**[ak].  **Yeah**[ak] **okay**[be] **uh huh**[bc] **Yeah**[be]  **Sure**[be] **Yeah yeah**  **uh huh**[bc]  **Yeah**[be]  **Of course**[be] **Uh huh**[bc]  **Yeah**[be]  And I think the hints are is a good good crisis. And which one you would like to discuss more like the feature study or training. Yeah, I I can. Maybe I choose the first point for the future study or training. Yeah, and I will make make something like this and. I think let me see. If you're just started and. &&&&Because&&&& I think in when we graduate, we are doing my job doing my job is also we also need to study because we like we study computer. The technology development develops as time goes by. So we need to study all the time and to. So I think it might change your job if job could not give me much knowledge about the. Something that so and and I think I cannot improve in the job, so I maybe I will change a career. And tell me, maybe I will choose the other about talking more about like. Lie or like local and their locations. And close to something good. There is so so so maybe you so maybe you take back the second minutes for the first point and then I will keep going to the second one. Yeah, OK, so I will focus on the second. Sorry here, yeah. Focus on the study or training. **Yeah yeah yeah**[be]  **Yes**[be]  **Yeah yeah**[be]  **Okay**[be]  **Okay**[be]"
