"id","label","labellevel","span"
"0","conversation opening","Dialogue level","&&&&OK, I'm first star and my name is Yuxin Sue and I'm now majoring in Psych. I'm majoring human resource and back in college. I was majoring in psychology, but I take internship as a human resource management area and I was in a recruitment department. That's why I find the human resource can be my future career. Therefore I choose this major to be. To be my master project and that's all about me.&&&&"
"1","epistemic modals","Utterance level","OK, I'm first star and my name is Yuxin Sue and I'm now majoring in Psych. I'm majoring human resource and back in college. I was majoring in psychology, but I take internship as a human resource management area and I was in a recruitment department. That's why I find the human resource &&&&can&&&& be my future career. Therefore I choose this major to be. To be my master project and that's all about me."
"2","subordinate clauses","Token level","OK, I'm first star and my name is Yuxin Sue and I'm now majoring in Psych. I'm majoring human resource and back in college. I was majoring in psychology, but I take internship as a human resource management area and I was in a recruitment department. &&&&That&&&&'s why I find the human resource can be my future career. Therefore I choose this major to be. To be my master project and that's all about me."
"3","subordinate clauses","Token level","My name is Siyi Jiang, and my major is applied linguistics &&&&because&&&& my bachelor is made bachelor major is English, so I choose supply linguistics."
"4","backchannels","Utterance level","&&&&(Instructions)&&&&"
"5","backchannels","Utterance level","&&&&OK.&&&&"
"6","question-based responses","Utterance level","&&&&So what about we choose the question to like?&&&&"
"7","question-based responses","Utterance level","&&&&Or do you think about that?&&&&"
"8","subordinate clauses","Token level","Or do you think about &&&&that&&&&?"
"9","question-based responses","Utterance level","&&&&**Yeah**[ak], I think it's a good reason to explain create change in one person's life and what do you think that?&&&&"
"10","subordinate clauses","Token level","**Yeah**[ak], I think it's a good reason to explain create change in one person's life and what do you think &&&&that&&&&?"
"11","backchannels","Utterance level","&&&&Maybe?&&&&"
"12","question-based responses","Utterance level","&&&&Maybe?&&&&"
"13","adjectives/ adverbs expressing possibility","Utterance level","&&&&Maybe&&&&?"
"14","adjectives/ adverbs expressing possibility","Utterance level","&&&&Maybe&&&& she maybe someone feels like nervous or feel uncomfortable on his."
"15","adjectives/ adverbs expressing possibility","Utterance level","And &&&&maybe&&&& it's about the salary thing. Yeah, got promotion to get more salary and financial support from the organization."
"16","backchannels","Utterance level","&&&&Yeah.&&&&"
"17","epistemic modals","Utterance level","So it's the and and it &&&&can&&&& also be like personal development for for his or her ability maybe. **Uh huh**[bc]"
"18","adjectives/ adverbs expressing possibility","Utterance level","So it's the and and it can also be like personal development for for his or her ability &&&&maybe&&&&. **Uh huh**[bc]"
"19","epistemic modals","Utterance level","Now shall I just do a presentation or we &&&&can&&&& do it together? **Sure**[be]"
